anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,7.96,"Drama, Sci-Fi","Alfred Izuruha is a 10-year-old who lives in the neutral colony cluster of Side 6 and, like most boys his age, is obsessed with the war between the Earth Federation and the Principality of Zeon. Unbeknownst to him, Al's next-door neighbor, Christina, is the test pilot of a prototype Gundam being developed in secret by the Earth Federation in the colony. A Zeon Special Forces team is assembled and tasked with infiltrating the colony in order to either steal or destroy it.

When a skirmish breaks out between the Federation and infiltrating Zeon forces, the fascinated Alfred stumbles upon a Zaku mobile suit that has been shot down, piloted by Zeon rookie Bernard ""Bernie"" Wiseman. After this encounter, the two start a mutual friendship, so Alfred can learn more about the war that interests him so much, and Bernie can acquire inside information about the colony to aid his team's mission.",OVA,6.0,"Mar 25, 1989 to Aug 25, 1989",UNKNOWN,Finished Airing,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,27 min per ep,PG-13 - Teens 13 or older,630.0,2718,966,31259.0,56839,https://cdn.myanimelist.net/images/anime/1/82.jpg
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,6.76,"Drama, Romance, Sci-Fi","Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.

(Source: ANN)",Movie,1.0,"Aug 1, 1998",UNKNOWN,Finished Airing,"Sotsu, Atelier Musa",Bandai Entertainment,Sunrise,Original,52 min,PG-13 - Teens 13 or older,5014.0,5384,3,6621.0,13284,https://cdn.myanimelist.net/images/anime/1132/100198.jpg
84,Kidou Senshi Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY,7.24,"Adventure, Drama, Romance, Sci-Fi","It is the year 0083 of the Universal Century. The rebellious Principality of Zeon has been defeated in the One Year War by the Earth Federation. However, a faction of Zeon remnants led by Aguille Delaz fled from the final battle, hiding themselves away. After three long years, they attempt to rise up once more, sending Delaz's ace pilot, Anavel Gato, to infiltrate a Federation research base to steal one of two secretly developed prototype Gundams along with its deadly nuclear warhead.

Threatened by the rogue Gundam suit and seeking to retain peace, the Earth Federation mobilizes the newly developed Albion carrier to recover the stolen unit. Manned by the remaining test pilots, with rookie pilot Kou Uraki piloting the remaining prototype Gundam, the Albion and her crew are determined to stop Gato, retake the stolen Gundam, and prevent the Zeon remnants from starting another war.",OVA,13.0,"May 23, 1991 to Sep 24, 1992",UNKNOWN,Finished Airing,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,28 min per ep,PG-13 - Teens 13 or older,2801.0,3173,251,23874.0,42580,https://cdn.myanimelist.net/images/anime/13/26654.jpg
85,Kidou Senshi Zeta Gundam,Mobile Suit Zeta Gundam,機動戦士Ζガンダム,7.9,"Drama, Romance, Sci-Fi","It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG).
 
17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict.",TV,50.0,"Mar 2, 1985 to Feb 22, 1986",spring 1985,Finished Airing,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,719.0,2401,2117,35809.0,70651,https://cdn.myanimelist.net/images/anime/6/11153.jpg
86,Kidou Senshi Gundam ZZ,Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,6.68,"Comedy, Drama, Sci-Fi","In Universal Century 0088, the Anti-Earth Union Group (AEUG) has emerged victorious in its war with the Earth Federation's Titans at the cost of devastating losses. Neo-Zeon, the third faction in the war formerly known as Axis Zeon, remains as powerful as ever. Led by Newtype Haman Karn, Neo-Zeon has been implementing plans to take over both Earth and the space colonies.

The AEUG flagship Argama heads to the Side 1 colony Shangri-La for repairs. Living in the colony is Judau Ashta, a 14-year-old junk dealer who is struggling to make enough money to put his younger sister through school. Upon the discovery of an escape pod containing a former Titans pilot, Judau and his friends are quickly led to the Argama in hopes of stealing a mobile suit which they can sell for a fortune. However, with the arrival of a Neo-Zeon ship seeking to defeat the Argama, Judau and his friends are dragged into to a conflict that will bring them across space and Earth.",TV,47.0,"Mar 1, 1986 to Jan 31, 1987",spring 1986,Finished Airing,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,5437.0,3254,178,19985.0,40669,https://cdn.myanimelist.net/images/anime/1848/91078.jpg
87,Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,機動戦士ガンダム 逆襲のシャア,7.66,"Drama, Sci-Fi","The year is Universal Century 0093. Char Aznable has taken command of Neo Zeon, the rebels of outer space. He firmly believes that humankind can only achieve peace by relocating to space. Thus, he plans to crash the giant asteroid Axis into Earth and plunge the planet into an uninhabitable winter. Char also eagerly anticipates this opportunity to settle a 14-year rivalry with Amuro Ray. The two have been reluctant allies at times, but Char has never forgiven Amuro for causing the death of one of his comrades during the One Year War.

Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series, Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all.",Movie,1.0,"Mar 12, 1988",UNKNOWN,Finished Airing,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,Sunrise,Novel,1 hr 59 min,PG-13 - Teens 13 or older,1225.0,3005,422,27623.0,46928,https://cdn.myanimelist.net/images/anime/1523/92371.jpg
88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,6.62,"Drama, Sci-Fi","In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth's space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.

Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.

Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the status Federation's status quo or cooperating with Cecily to find a better way of life for all.",Movie,1.0,"Mar 16, 1991",UNKNOWN,Finished Airing,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,2 hr,PG-13 - Teens 13 or older,5740.0,3771,82,16605.0,30560,https://cdn.myanimelist.net/images/anime/1637/95288.jpg
89,Kidou Senshi Victory Gundam,Mobile Suit Victory Gundam,機動戦士Vガンダム,6.77,"Drama, Sci-Fi","In the year 153 of the Universal Century, the tyrannical Zanscare Empire has taken hostile control over Side 2, a space colony outside of Earth's orbit. Following in the footsteps of the long expired Principality of Zeon and the more recent Crossbone Vanguard, Zanscare rules over its subjects with cruelty, routinely using a large guillotine for public executions.

Living in Central Europe, space immigrant Üso Ewin joins the League Militaire, a militia made up of civilians frustrated with the Earth Federation's inability to combat the Zanscare Empire. Üso's latent abilities as a psychic Newtype awaken and allow him to pilot the Victory Gundam, the only mobile suit capable of holding off the elite BESPA forces of the Zanscare Empire.

Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation, Üso fights on with the Victory, striving to bring an end to the empire's reign.",TV,51.0,"Apr 2, 1993 to Mar 25, 1994",spring 1993,Finished Airing,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,4996.0,4037,136,10400.0,26469,https://cdn.myanimelist.net/images/anime/1913/102693.jpg
90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,新機動戦記ガンダムW,7.69,"Action, Drama, Sci-Fi","The United Earth Sphere Alliance is a powerful military organization that has ruled over Earth and space colonies with an iron fist for several decades. When the colonies proclaimed their opposition to this, their leader was assassinated. Now, in the year After Colony 195, bitter colonial rebels have launched ""Operation Meteor,"" sending five powerful mobile suits to Earth for vengeance. Built out of virtually indestructible material called Gundanium Alloy, these ""Gundams"" begin an assault against the Alliance and its sub organization OZ.

One Gundam, whose pilot has taken the name of the slain colony leader Heero Yuy, is forced to make a crash landing into the ocean after an atmospheric battle against OZ's ace pilot Zechs Marquise. Upon coming ashore, he is found by Relena Peacecraft, daughter of a peace-seeking politician, who witnesses Heero's descent to Earth. Although neither of them realize it yet, this encounter will have a profound impact on both their lives, as well as those on Earth and in space colonies.",TV,49.0,"Apr 7, 1995 to Mar 29, 1996",spring 1995,Finished Airing,TV Asahi,Bandai Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,1168.0,1391,2334,87593.0,155744,https://cdn.myanimelist.net/images/anime/1884/114414.jpg
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,新機動戦記ガンダムW エンドレス・ワルツ,7.74,"Action, Award Winning, Drama, Sci-Fi","In the year After Colony 196, one year after the conclusion of the intergalactic civil war, a state of stasis prevails over the Earth and its colonies. Seeing no further use for their Gundam mobile suits, war heroes Duo Maxwell, Heero Yuy, Trowa Barton, and Quatre Raberba Winner decide to destroy these weapons by launching them into the sun's surface. 

Before the Gundam reach their destination, the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch ""Operation Meteor,"" with the intention of posthumously fulfilling Treize's world domination plot.

With the help of former enemy Zechs Marquise and his mobile suit Tallgeese, the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty, including fighting against their former ally Wufei Chang, now aligning himself with Mariemaia's ambitions.",OVA,3.0,"Jan 25, 1997 to Jul 25, 1997",UNKNOWN,Finished Airing,"Bandai Visual, Sotsu",Bandai Entertainment,Sunrise,Original,30 min per ep,PG-13 - Teens 13 or older,1050.0,2996,176,27092.0,47208,https://cdn.myanimelist.net/images/anime/1061/97444.jpg
92,Kidou Shinseiki Gundam X,After War Gundam X,機動新世紀ガンダムX,7.34,"Adventure, Drama, Sci-Fi","When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop.

Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past.",TV,39.0,"Apr 5, 1996 to Dec 28, 1996",spring 1996,Finished Airing,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,2330.0,3534,199,15331.0,34851,https://cdn.myanimelist.net/images/anime/10/16054.jpg
93,Kidou Senshi Gundam SEED,Mobile Suit Gundam SEED,機動戦士ガンダムSEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi","In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies.

Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams.

While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it.",TV,50.0,"Oct 5, 2002 to Sep 27, 2003",fall 2002,Finished Airing,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa","Bandai Entertainment, NYAV Post",Sunrise,Original,24 min per ep,R - 17+ (violence & profanity),1011.0,1330,3435,92725.0,164436,https://cdn.myanimelist.net/images/anime/1792/91081.jpg
94,Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam SEED Destiny,機動戦士ガンダムSEED DESTINY,7.18,"Action, Drama, Romance, Sci-Fi","In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit.

Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages.

As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him.",TV,50.0,"Oct 9, 2004 to Oct 1, 2005",fall 2004,Finished Airing,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment","Bandai Entertainment, NYAV Post",Sunrise,Original,24 min per ep,R - 17+ (violence & profanity),3122.0,1887,1063,63114.0,104048,https://cdn.myanimelist.net/images/anime/1700/91080.jpg
95,Turn A Gundam,∀ Gundam,∀ガンダム,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi","It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement.

A boy named Rolan Cehack and two others are sent down to Earth for a reconnaissance mission. Rolan ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll.""

To Rolan's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Rolan in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war.",TV,50.0,"Apr 9, 1999 to Apr 14, 2000",spring 1999,Finished Airing,"Sotsu, Fuji TV, Nakamura Production",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,1057.0,3041,965,16137.0,45772,https://cdn.myanimelist.net/images/anime/4/78330.jpg
96,Kidou Butouden G Gundam,Mobile Fighter G Gundam,機動武闘伝Gガンダム,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports","In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all.

Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.

Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.",TV,49.0,"Apr 1, 1994 to Mar 31, 1995",spring 1994,Finished Airing,"TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,1451.0,2483,978,36150.0,66828,https://cdn.myanimelist.net/images/anime/1187/133654.jpg
97,Last Exile,Last Exile,LAST EXILE（ラストエグザイル）,7.79,"Action, Adventure, Sci-Fi","In the world of Prester, flight is the dominant mode of transportation, made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as ""the Guild"" has absolute authority over the skies, with a monopoly on the engines that make use of this fluid. Moreover, as ecological disasters destabilize the warring countries of Anatoray and Disith, the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers, piloting small, two-person vanships that fly freely through the sky.

Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca, son of a famous vanship pilot, and Lavie Head, Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations, which even standard airships struggle to survive. However, when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana, they get dragged into a much greater conflict that pits them against the might of the Guild.",TV,26.0,"Apr 8, 2003 to Sep 30, 2003",spring 2003,Finished Airing,"GDH, Victor Entertainment, TV Tokyo Music","Funimation, Geneon Entertainment USA",Gonzo,Original,24 min per ep,PG-13 - Teens 13 or older,943.0,1297,1825,69879.0,170062,https://cdn.myanimelist.net/images/anime/7/10888.jpg
98,Mai-HiME,My-Hime,舞-HiME,7.42,"Action, Fantasy, Girls Love","Thirteen girls, each with the ability to materialize ""Elements"" and summon metallic guardians called ""Childs"" have been brought to Fuuka Academy to battle mysterious creatures called Orphans. Each with a different personality and background, they must decide who they truly care about and why they fight.",TV,26.0,"Oct 1, 2004 to Apr 1, 2005",fall 2004,Finished Airing,"Bandai Visual, TV Tokyo Music, Studio Zain","Funimation, Bandai Entertainment",Sunrise,Original,23 min per ep,PG-13 - Teens 13 or older,1981.0,1781,1146,51203.0,113210,https://cdn.myanimelist.net/images/anime/13/7226.jpg
99,Mai-Otome,My-Otome,舞-乙HiME,7.28,"Comedy, Drama, Fantasy","Arika Yumemiya has traveled far in search of her goal: the prestigious Gualderobe Academy. This is the school where young girls are trained to become Otomes, protectors of royal leaders throughout the lands. Here, Arika makes plenty of friends, but some enemies know something about her past that she does not. Nevertheless, her spirit and determination will keep pushing her forward.

Adapted from its predecessor, Mai-HiME, this series is not a direct sequel, but an alternate universe setting featuring some of the Mai-HiME cast (though with different personalities). 

(Source: ANN)",TV,26.0,"Oct 7, 2005 to Mar 31, 2006",fall 2005,Finished Airing,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,23 min per ep,PG-13 - Teens 13 or older,2631.0,2896,303,25042.0,50454,https://cdn.myanimelist.net/images/anime/2/46897.jpg
100,Shin Shirayuki-hime Densetsu Prétear,Prétear: The New Legend of Snow White,新白雪姫伝説プリーティア,7.16,"Comedy, Drama, Fantasy, Romance","Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity.

But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?",TV,13.0,"Apr 4, 2001 to Jun 27, 2001",spring 2001,Finished Airing,"Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,23 min per ep,PG-13 - Teens 13 or older,3271.0,2589,409,28219.0,62156,https://cdn.myanimelist.net/images/anime/9/11709.jpg
101,Air,Air,AIR,7.28,"Drama, Romance, Supernatural","Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her.

By staying in the quaint town, Yukito soon becomes friends with the locals. As he gets to know them better, he learns of their problems and decides to help, putting his search for the Winged Maiden on hold. With his search on hold, and his growing attachment to Misuzu and the small town, will Yukito ever find the Winged Maiden, or is she closer than he thought?",TV,12.0,"Jan 7, 2005 to Mar 25, 2005",winter 2005,Finished Airing,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,24 min per ep,PG-13 - Teens 13 or older,2603.0,761,2605,151312.0,292351,https://cdn.myanimelist.net/images/anime/8/22059.jpg
102,Aishiteruze Baby★★,UNKNOWN,愛してるぜ ベイベ★★,7.44,"Comedy, Drama, Romance","Katakura Kippei is in every way a high school playboy. Spending his days flirting with any girl he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the full-time task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride.",TV,26.0,"Apr 3, 2004 to Oct 9, 2004",spring 2004,Finished Airing,"Animax, Toei Video, Sunny Side Up",UNKNOWN,TMS Entertainment,Manga,25 min per ep,PG-13 - Teens 13 or older,1895.0,1919,546,52861.0,101134,https://cdn.myanimelist.net/images/anime/2/69665.jpg
103,Akazukin Chacha,Red Riding Hood Chacha,赤ずきんチャチャ,7.49,"Adventure, Comedy, Fantasy, Romance","Akazukin Chacha is the story of a young magical girl (Mahō Shōjo) named Chacha. Living with her guardian in a cottage on Mochi-mochi mountain is Seravi, who is her teacher and also the fictional world's greatest magician. Chacha is clumsy in casting her spells because, throughout the anime, when she summons something, it often turns out to be something that she didn't mean to cast, for example, spiders (kumo) instead of a cloud (also kumo). At times in the anime when she and her friends are in trouble, however, her spells do work. Living on the same mountain is a boy gifted with enormous strength named Riiya. It is described that Riiya came from a family of werewolves who can instantly change into a wolf whenever they want. Quite far from Mochi-mochi mountain lies Urizuri mountain. Dorothy, also a well known magician in her land, lives in a castle on Urizuri mountain. Living with her is Shiine, her student. Shiine is adept when it comes to casting spells. He is a young wizard and most of his knowledge about magic was taught to him by Dorothy.

The first 2 seasons were originally created by the anime team. Most of the stories in season 3 are based on the manga.

(Source: Wikipedia)",TV,74.0,"Jan 7, 1994 to Jun 30, 1995",winter 1994,Finished Airing,"Nihon Ad Systems, Shueisha",UNKNOWN,Gallop,Manga,24 min per ep,G - All Ages,1733.0,5140,110,5335.0,14917,https://cdn.myanimelist.net/images/anime/1098/108972.jpg
104,Ayashi no Ceres,"Ceres, Celestial Legend",妖しのセレス,7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense","Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed.

Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently.

With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction.",TV,24.0,"Apr 20, 2000 to Sep 28, 2000",spring 2000,Finished Airing,Bandai Visual,"VIZ Media, Discotek Media",Pierrot,Manga,21 min per ep,R - 17+ (violence & profanity),3156.0,2628,482,27320.0,60668,https://cdn.myanimelist.net/images/anime/1928/106202.jpg
105,Boys Be...,Boys Be...,ボーイズ・ビー,6.4,"Comedy, Romance, Slice of Life","There are two sides to every love story, and Boys Be... reveals what's really going on—from the guy's point of view!

Meet three normal high school guys with just one thing on their minds: girls. Quiet Kyoichi has been friends with Chiharu ever since they were young, but lately, his feelings have begun to change. Lecherous Makoto, a self-proclaimed master of the rules of romance, is ready to sweep the ladies off their feet. And Yoshihiko, a handsome sports nut, is unfortunately a bit clueless in matters of the heart.

Join this hapless trio for a year of romantic misadventures that will change their lives forever!

(Source: RightStuf)",TV,13.0,"Apr 11, 2000 to Jul 4, 2000",spring 2000,Finished Airing,Geneon Universal Entertainment,Nozomi Entertainment,Hal Film Maker,Manga,23 min per ep,PG-13 - Teens 13 or older,6889.0,4306,42,9195.0,22934,https://cdn.myanimelist.net/images/anime/1/2223.jpg
106,Hana yori Dango,Hana Yori Dango,花より男子,7.61,"Drama, Romance","Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye...

(Source: ANN)",TV,51.0,"Sep 8, 1996 to Aug 31, 1997",fall 1996,Finished Airing,UNKNOWN,"VIZ Media, Discotek Media",Toei Animation,Manga,25 min per ep,PG-13 - Teens 13 or older,1359.0,2643,769,24437.0,59814,https://cdn.myanimelist.net/images/anime/2/42871.jpg
107,Ou Dorobou Jing,Jing: King of Bandits,王ドロボウ JING,7.19,"Adventure, Comedy, Fantasy, Sci-Fi","Jing may appear to be a young boy, but his remarkable skills make him one of the most feared thieves on the planet. Along with his feathered partner Kir, Jing travels from town to town, stealing anything of value regardless of the amount of security. But when he's in a pinch, he has one more trick up his sleeve: Kir bonds with Jing's right arm to perform the effectively deadly ""Kir Royale"" attack. And because of all this, Jing is infamously known by many as the ""King of Bandits.""",TV,13.0,"May 15, 2002 to Aug 14, 2002",spring 2002,Finished Airing,Aniplex,ADV Films,Studio Deen,Manga,24 min per ep,PG-13 - Teens 13 or older,3109.0,3440,206,14288.0,36942,https://cdn.myanimelist.net/images/anime/1961/92115.jpg
108,Ou Dorobou Jing in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,王ドロボウ JING in Seventh Heaven,7.25,"Adventure, Comedy, Fantasy","Jing, the infamous King of Bandits, finds himself and his feathered partner Kir behind bars in Seventh Heaven, the most notorious prison complex in the world. There, they seek to steal the Dream Orb from the convict Campari. But before doing so, they must escape from the prison of dreams that Campari has conjured for them.",OVA,3.0,"Jan 21, 2004 to Apr 28, 2004",UNKNOWN,Finished Airing,Aniplex,"ADV Films, Funimation",Studio Deen,Manga,30 min per ep,PG-13 - Teens 13 or older,2793.0,5457,24,5491.0,12873,https://cdn.myanimelist.net/images/anime/5/30325.jpg
